z (m), u (m/s), V (1/s), T (K), rho (kg/m3), H2, H, O, O2, OH, H2O, HO2, H2O2, N, NH, NH2, NH3, NNH, NO, NO2, N2O, HNO, N2, 
0.0238202589225, 2.94842386529, 1.35928338119e-213, 389.298549244, 0.67407053582272303, 0.270872387539, 6.04629147049e-05, 1.08153397865e-05, 0.150998119172, 0.000144554102848, 0.00391297484632, 0.000388219004441, 6.60560351728e-05, 4.83489880052e-12, 5.03525645106e-13, 4.50924743247e-14, 1.28837339474e-13, 9.74834246823e-14, 1.55165582261e-09, 2.55117897031e-10, 5.48836421772e-12, 8.10532508242e-12, 0.57354640922, 
0.0238221361996, 2.99497404885, 1.35928329114e-213, 395.835962981, 0.66359239734712439, 0.269869847383, 7.51417922863e-05, 1.24108677825e-05, 0.150965655123, 0.000168209501939, 0.0043272757193, 0.000410882048466, 7.07359090066e-05, 5.42231452531e-12, 5.71702949514e-13, 4.91493847493e-14, 1.44394289518e-13, 1.41597025899e-13, 1.78215669507e-09, 2.6725789651e-10, 6.43175701624e-12, 9.12391297925e-12, 0.574099839584, 
0.0238240134767, 3.04408235136, 1.35928315252e-213, 402.728711264, 0.65288571294151909, 0.268837688558, 9.28395810176e-05, 1.42300290967e-05, 0.150919536437, 0.000194943774868, 0.00477575120992, 0.000432106116938, 7.54472198061e-05, 6.09332772762e-12, 6.50874661214e-13, 5.35497306693e-14, 1.61585814485e-13, 2.04984376016e-13, 2.04368058357e-09, 2.77621129392e-10, 7.52422411784e-12, 1.02437723791e-11, 0.574657454728, 
0.0238258907538, 3.09573624937, 1.35928302635e-213, 409.975694155, 0.64199050619653752, 0.267776099975, 0.000114026400107, 1.6295232762e-05, 0.150859078126, 0.000224892200278, 0.00525956831893, 0.000451517917417, 8.01553878378e-05, 6.86239645047e-12, 7.43220439854e-13, 5.83225156059e-14, 1.80546918478e-13, 2.95543863578e-13, 2.33945462534e-09, 2.85919442212e-10, 8.78629593775e-12, 1.14685377304e-11, 0.575218363788, 
0.023827768031, 3.14990405058, 1.35928291083e-213, 417.573255213, 0.63094881171864858, 0.266685321055, 0.00013920951312, 1.86288495088e-05, 0.15078365679, 0.00025812720951, 0.00577973417953, 0.000468787914514, 8.48255638052e-05, 7.74680708572e-12, 8.51403269043e-13, 6.34997188591e-14, 2.01420040418e-13, 4.24082363582e-13, 2.67287247547e-09, 2.91930486153e-10, 1.02408244067e-11, 1.28006959082e-11, 0.575781705927, 
0.0238296453081, 3.2065351807, 1.35928280829e-213, 425.515194693, 0.61980380763117793, 0.265565644213, 0.000168928673357, 2.12528164433e-05, 0.150692715685, 0.000294645820278, 0.0063370862301, 0.000483645208995, 8.94230256484e-05, 8.76720287995e-12, 9.7867118108e-13, 6.91166885582e-14, 2.24355396542e-13, 6.05208445044e-13, 3.04749287476e-09, 2.95513126627e-10, 1.19131849347e-11, 1.42414232794e-11, 0.576346654947, 
0.0238315225852, 3.26556079841, 1.3592827476e-213, 433.792855823, 0.60859892607525268, 0.264417406507, 0.000203749937134, 2.41882813639e-05, 0.15058577119, 0.000334359758317, 0.00693228712682, 0.000495888778901, 9.39134793357e-05, 9.94819035513e-12, 1.1289758737e-12, 7.52125802483e-14, 2.49511389392e-13, 8.58417001908e-13, 3.46704392229e-09, 2.96617308524e-10, 1.38314934881e-11, 1.57904729327e-11, 0.576912431136, 
0.0238333998623, 3.32689506023, 1.35928269522e-213, 442.395281032, 0.59737697215407015, 0.263240987481, 0.000244258091722, 2.74553258727e-05, 0.150462417873, 0.000377089378487, 0.0075658242455, 0.000505394164622, 9.82632995388e-05, 1.13190299352e-11, 1.30710959795e-12, 8.18308517812e-14, 2.77055085531e-13, 1.20937341379e-12, 3.9354341054e-09, 2.95287140977e-10, 1.60268400386e-11, 1.74461249643e-11, 0.577478305862, 
0.0238352771394, 3.39043680775, 1.35928266031e-213, 451.309430148, 0.58617930014979136, 0.262036805354, 0.000291047942841, 3.10728035828e-05, 0.15032233309, 0.000422562223461, 0.0082380133224, 0.000512115159858, 0.000102439756375, 1.29144161904e-11, 1.51886141229e-12, 8.9019821797e-14, 3.07162759513e-13, 1.69139350574e-12, 4.45677044715e-09, 2.91656773348e-10, 1.85335400992e-11, 1.92052071014e-11, 0.578043605545, 
0.0238371544165, 3.45607158859, 1.35928263117e-213, 460.520449223, 0.57504508318796632, 0.260805311539, 0.00034471480555, 3.50583233885e-05, 0.150165280667, 0.00047041666944, 0.00894900561224, 0.000516080567464, 0.000106411270807, 1.47753519883e-11, 1.77119358216e-12, 9.68333038079e-14, 3.40020498328e-13, 2.34710277911e-12, 5.03538333048e-09, 2.85939516272e-10, 2.13894059983e-11, 2.10631848603e-11, 0.578607715162, 
0.0238390316936, 3.52367406062, 1.35928261558e-213, 470.011975878, 0.5640106993114099, 0.259546990536, 0.000405844625704, 3.94283981807e-05, 0.149991112165, 0.000520210651477, 0.00969879790236, 0.000517386521592, 0.000110147727168, 1.69501192554e-11, 2.07243857809e-12, 1.05331332896e-13, 3.75824857979e-13, 3.2302914457e-12, 5.67585680555e-09, 2.78411483908e-10, 2.46360391702e-11, 2.3014310667e-11, 0.579170075448, 
0.0238409089707, 3.59311036986, 1.35928260312e-213, 479.766466309, 0.55310926058151111, 0.258262351919, 0.000475004169007, 4.41987660681e-05, 0.149799767362, 0.000571434984817, 0.0104872447015, 0.000516185206794, 0.00011362085287, 1.94953464474e-11, 2.43251659948e-12, 1.14581000018e-13, 4.14783559984e-13, 4.40918561012e-12, 6.38306269674e-09, 2.69391667419e-10, 2.83191454905e-11, 2.50518111693e-11, 0.579730185306, 
0.023844663525, 3.73707231693, 1.35928260496e-213, 500.0, 0.53179810594797816, 0.255644620723, 0.000637090734452, 5.48614989921e-05, 0.14937090344, 0.000675337907992, 0.0121597777466, 0.000506991180163, 0.000119637850074, 2.58175496849e-11, 3.352920803e-12, 1.35316889979e-13, 5.01779975803e-13, 7.96014558632e-12, 7.9939578172e-09, 2.48159628403e-10, 3.70373789401e-11, 2.93141824446e-11, 0.580830770572, 
0.0238486076989, 3.89415396146, 1.31439296371e-207, 522.116432377, 0.51034272916282275, 0.252796060344, 0.00084704274928, 6.78719706628e-05, 0.148854690523, 0.000783247681575, 0.0140638700638, 0.00049006921814, 0.000124606856944, 3.48919283372e-11, 4.72765883989e-12, 1.61168053963e-13, 6.08471603119e-13, 1.42312152335e-11, 1.00154655507e-08, 2.23923045518e-10, 4.8536520184e-11, 3.40401780072e-11, 0.581972530216, 
0.0238525518729, 4.05596205593, 1.24801296896e-207, 544.948200056, 0.48997979924081786, 0.249848651391, 0.00110107220917, 8.29055694185e-05, 0.148273829171, 0.000885399791502, 0.0161133805844, 0.000468079676278, 0.000128095181162, 4.7392744388e-11, 6.69156057709e-12, 1.92171468506e-13, 7.33046741626e-13, 2.44324836765e-11, 1.2426745609e-08, 2.00068274366e-10, 6.29603912193e-11, 3.89774129734e-11, 0.583098573617, 
0.0238564960468, 4.2213293553, -7.75243156492e-208, 568.33938644, 0.47078244099620259, 0.246807577127, 0.00140142411611, 0.000100185069012, 0.147631646394, 0.000978082875303, 0.0183007332269, 0.000443171356556, 0.000130064834301, 6.45399327088e-11, 9.47045829396e-12, 2.2957988224e-13, 8.7793320572e-13, 4.03100447079e-11, 1.52874500772e-08, 1.78219808988e-10, 8.09373991047e-11, 4.41048613973e-11, 0.584207099294, 
0.0238584681338, 4.30492752743, -2.07801048944e-207, 580.193410014, 0.46163966073034651, 0.245237398709, 0.001571362051, 0.000109893661796, 0.147284796876, 0.00102038915452, 0.0194559106021, 0.000430145053294, 0.000130491962712, 7.55738546921e-11, 1.12968051866e-11, 2.51549029647e-13, 9.59955974345e-13, 5.11095086905e-11, 1.69307817435e-08, 1.68270153203e-10, 9.16644758981e-11, 4.6773989549e-11, 0.584759594553, 
0.0238604402207, 4.38904584482, -3.78512613117e-207, 592.138422899, 0.45279090310083647, 0.24364473568, 0.00175353870698, 0.000120327278259, 0.146922544405, 0.00105938748546, 0.020644996644, 0.000416981174572, 0.000130532172156, 8.84887800981e-11, 1.34593827735e-11, 2.75885045901e-13, 1.04850905952e-12, 6.42007159063e-11, 1.8723161612e-08, 1.59121146998e-10, 1.03675669828e-10, 4.95007338226e-11, 0.585306937251, 
0.0238624123077, 4.47357957635, -7.45732856093e-207, 604.158372961, 0.44423421121145562, 0.242030621772, 0.00194799802665, 0.00013154718391, 0.146545184695, 0.00109494186713, 0.0218670366958, 0.000403825679394, 0.000130196508019, 1.03563125928e-10, 1.60115161543e-11, 3.02888783378e-13, 1.14402081337e-12, 7.99261459473e-11, 2.06757894337e-08, 1.50780423601e-10, 1.17103357561e-10, 5.22872524978e-11, 0.585848626375, 
0.0238643843947, 4.55840707396, -1.19401667905e-206, 616.238383657, 0.43596624459828875, 0.240395289935, 0.00215473275517, 0.000143623073824, 0.146153082571, 0.00112699632092, 0.0231211099081, 0.000390795680735, 0.000129499025848, 1.21106038636e-10, 1.90131860246e-11, 3.32903506568e-13, 1.24694166426e-12, 9.8658824732e-11, 2.28005629694e-08, 1.43227320585e-10, 1.32091784977e-10, 5.51356975561e-11, 0.586384847358, 
